,Case900_J2
anual_heating_load,0.951296664
anual_cooling_load,1.378495397
maximum_heating_load,6.536355121
maximum_cooling_load,2.883998495
solar_radiation_N,432.1342194
solar_radiation_E,1179.260452
solar_radiation_W,1040.518134
solar_radiation_S,1544.978897
solar_radiation_H,1840.060742
solar_transitted,980.3664639
transmissivity_coefficient,0.634550068
solar_radiation_March_5_south_0,0
solar_radiation_March_5_south_1,0
solar_radiation_March_5_south_2,0
solar_radiation_March_5_south_3,0
solar_radiation_March_5_south_4,0
solar_radiation_March_5_south_5,0
solar_radiation_March_5_south_6,4.139205883
solar_radiation_March_5_south_7,19.90661571
solar_radiation_March_5_south_8,35.47891943
solar_radiation_March_5_south_9,48.98374362
solar_radiation_March_5_south_10,58.44962435
solar_radiation_March_5_south_11,63.72758371
solar_radiation_March_5_south_12,63.46918982
solar_radiation_March_5_south_13,57.16388963
solar_radiation_March_5_south_14,46.14035878
solar_radiation_March_5_south_15,31.72605323
solar_radiation_March_5_south_16,15.64231552
solar_radiation_March_5_south_17,2.670197941
solar_radiation_March_5_south_18,0
solar_radiation_March_5_south_19,0
solar_radiation_March_5_south_20,0
solar_radiation_March_5_south_21,0
solar_radiation_March_5_south_22,0
solar_radiation_March_5_south_23,0
solar_radiation_March_5_west_0,0
solar_radiation_March_5_west_1,0
solar_radiation_March_5_west_2,0
solar_radiation_March_5_west_3,0
solar_radiation_March_5_west_4,0
solar_radiation_March_5_west_5,0
solar_radiation_March_5_west_6,4.10071646
solar_radiation_March_5_west_7,19.53711605
solar_radiation_March_5_west_8,34.57991217
solar_radiation_March_5_west_9,47.8212013
solar_radiation_March_5_west_10,56.97293612
solar_radiation_March_5_west_11,61.3277497
solar_radiation_March_5_west_12,61.42746909
solar_radiation_March_5_west_13,56.2762205
solar_radiation_March_5_west_14,46.1266842
solar_radiation_March_5_west_15,32.25011047
solar_radiation_March_5_west_16,16.12359934
solar_radiation_March_5_west_17,2.715524251
solar_radiation_March_5_west_18,0
solar_radiation_March_5_west_19,0
solar_radiation_March_5_west_20,0
solar_radiation_March_5_west_21,0
solar_radiation_March_5_west_22,0
solar_radiation_March_5_west_23,0
solar_radiation_July_27_south_0,0
solar_radiation_July_27_south_1,0
solar_radiation_July_27_south_2,0
solar_radiation_July_27_south_3,0
solar_radiation_July_27_south_4,2.863713378
solar_radiation_July_27_south_5,35.65719262
solar_radiation_July_27_south_6,90.29256061
solar_radiation_July_27_south_7,136.1384495
solar_radiation_July_27_south_8,256.0580481
solar_radiation_July_27_south_9,377.0923825
solar_radiation_July_27_south_10,449.9555266
solar_radiation_July_27_south_11,468.9700317
solar_radiation_July_27_south_12,458.4652236
solar_radiation_July_27_south_13,395.7751632
solar_radiation_July_27_south_14,298.2775405
solar_radiation_July_27_south_15,170.2591905
solar_radiation_July_27_south_16,80.3704132
solar_radiation_July_27_south_17,52.38697116
solar_radiation_July_27_south_18,15.1854477
solar_radiation_July_27_south_19,0
solar_radiation_July_27_south_20,0
solar_radiation_July_27_south_21,0
solar_radiation_July_27_south_22,0
solar_radiation_July_27_south_23,0
solar_radiation_July_27_west_0,0
solar_radiation_July_27_west_1,0
solar_radiation_July_27_west_2,0
solar_radiation_July_27_west_3,0
solar_radiation_July_27_west_4,2.863713378
solar_radiation_July_27_west_5,35.65719262
solar_radiation_July_27_west_6,90.29256061
solar_radiation_July_27_west_7,128.8229284
solar_radiation_July_27_west_8,146.3844069
solar_radiation_July_27_west_9,152.7179384
solar_radiation_July_27_west_10,149.8254964
solar_radiation_July_27_west_11,142.6580188
solar_radiation_July_27_west_12,257.3999731
solar_radiation_July_27_west_13,457.0080923
solar_radiation_July_27_west_14,616.3624503
solar_radiation_July_27_west_15,668.5249818
solar_radiation_July_27_west_16,511.044632
solar_radiation_July_27_west_17,163.219274
solar_radiation_July_27_west_18,26.89018498
solar_radiation_July_27_west_19,0
solar_radiation_July_27_west_20,0
solar_radiation_July_27_west_21,0
solar_radiation_July_27_west_22,0
solar_radiation_July_27_west_23,0
hourly_heatload_winter_0,0
hourly_heatload_winter_1,0
hourly_heatload_winter_2,0
hourly_heatload_winter_3,0
hourly_heatload_winter_4,0
hourly_heatload_winter_5,0
hourly_heatload_winter_6,0
hourly_heatload_winter_7,0
hourly_heatload_winter_8,6.38055528
hourly_heatload_winter_9,4.265647154
hourly_heatload_winter_10,2.827517575
hourly_heatload_winter_11,2.095215173
hourly_heatload_winter_12,1.606714793
hourly_heatload_winter_13,1.137644107
hourly_heatload_winter_14,0.921588614
hourly_heatload_winter_15,1.157770048
hourly_heatload_winter_16,2.104133636
hourly_heatload_winter_17,2.756889223
hourly_heatload_winter_18,0
hourly_heatload_winter_19,0
hourly_heatload_winter_20,0
hourly_heatload_winter_21,0
hourly_heatload_winter_22,0
hourly_heatload_winter_23,0